Country,Emissions,Reason,Production source
Philippines,10.36000001,Fugitive,Downstream gas
Romania,10.68000023,Vented,Downstream gas
Venezuela,38.11000061,Fugitive,Offshore gas
Ivory Coast,0,Vented,Onshore conventional oil
Argentina,0.269999994,Fugitive,Downstream oil
Azerbaijan,0,Incomplete-flare,Onshore conventional gas
Bahrain,0,Incomplete-flare,Offshore oil
Qatar,0,Incomplete-flare,Unconventional gas
Venezuela,32.75999832,Incomplete-flare,Unconventional oil
Ecuador,0,Vented,Unconventional gas
Iraq,2479.18997,Vented,Onshore conventional oil
Bolivia,0,Fugitive,Offshore oil
Italy,1.909999967,Fugitive,Onshore conventional gas
United States,1575.389984,Fugitive,Unconventional gas
Gabon,38.15999949,Vented,Offshore oil
Saudi Arabia,0.679999985,Fugitive,Downstream oil
Pakistan,0,Fugitive,Unconventional oil
Italy,0.310000006,Fugitive,Downstream oil
Brunei,0,Vented,Unconventional oil
Cuba,0.079999998,Fugitive,Downstream oil
Vietnam,0,Fugitive,Onshore conventional gas
Chad,0,Vented,Offshore gas
Yemen,0,Vented,Unconventional gas
Bolivia,0.680000007,Incomplete-flare,Onshore conventional oil
Egypt,0,Incomplete-flare,Offshore gas
Bangladesh,108.579998,Fugitive,Downstream gas
Germany,0.220000001,Fugitive,Onshore conventional oil
Peru,18.1500001,Fugitive,Onshore conventional gas
Malaysia,110.3200014,Vented,Offshore gas
Algeria,289.3800049,Incomplete-flare,Onshore conventional oil
Yemen,0.809999989,Vented,Downstream gas
Japan,2.610000044,Fugitive,Onshore conventional gas
Cameroon,0,Incomplete-flare,Unconventional oil
Canada,0,Vented,Offshore oil
Poland,0,Fugitive,Satellite-detected large emitters
Kuwait,0.129999997,Fugitive,Offshore gas
Egypt,0,Fugitive,Satellite-detected large emitters
Vietnam,0.210000001,Fugitive,Downstream oil
Mexico,20.12000084,Incomplete-flare,Onshore conventional oil
Kazakhstan,334.940005,Vented,Onshore conventional oil
Philippines,0,Vented,Onshore conventional gas
Mexico,17.61999989,Fugitive,Onshore conventional gas
Germany,0,Incomplete-flare,Offshore oil
Saudi Arabia,52.28000021,Fugitive,Onshore conventional gas
Uzbekistan,0,Fugitive,Unconventional gas
ROETE,1.290000036,Fugitive,Onshore conventional oil
Uzbekistan,0,Vented,Offshore oil
OASEAN9,0,Fugitive,Satellite-detected large emitters
Poland,0.069999998,Fugitive,Offshore oil
Ecuador,1.929999992,Vented,Offshore gas
Germany,0.469999995,Fugitive,Downstream oil
Iran,601.5199916,Vented,Downstream gas
Oman,0.32000001,Vented,Downstream oil
Thailand,22.1500001,Fugitive,Offshore gas
Australia,8.470000267,Incomplete-flare,Offshore oil
Cameroon,0,Incomplete-flare,Offshore gas
Ecuador,0,Incomplete-flare,Offshore oil
Bahrain,28.47999954,Fugitive,Onshore conventional gas
Denmark,0,Incomplete-flare,Onshore conventional gas
Azerbaijan,0,Fugitive,Satellite-detected large emitters
OEU17,0.079999998,Fugitive,Offshore oil
Chad,0,Vented,Unconventional oil
Ivory Coast,5.959999859,Fugitive,Downstream gas
Argentina,13.27000046,Incomplete-flare,Onshore conventional oil
Qatar,63.49999857,Fugitive,Downstream gas
Malaysia,0,Incomplete-flare,Onshore conventional gas
Libya,428.0399933,Fugitive,Downstream gas
OASEAN9,48.48000098,Vented,Offshore gas
Brunei,4.460000038,Incomplete-flare,Offshore oil
Brazil,47.26999951,Vented,Offshore gas
Australia,11.90999985,Incomplete-flare,Onshore conventional oil
Japan,0.369999994,Vented,Offshore gas
OASEAN9,0,Vented,Unconventional oil
Malaysia,0.210000001,Fugitive,Downstream oil
Algeria,0.310000006,Fugitive,Downstream oil
OEU17,0.519999981,Incomplete-flare,Onshore conventional oil
Venezuela,0,Incomplete-flare,Offshore gas
Kazakhstan,18.21000064,Vented,Offshore gas
Malaysia,0,Vented,Unconventional gas
United Kingdom,0,Incomplete-flare,Unconventional gas
Israel,0.33,Vented,Downstream oil
Brunei,0,Incomplete-flare,Offshore gas
Kazakhstan,0,Vented,Unconventional gas
Norway,0,Fugitive,Unconventional oil
United Kingdom,6.220000148,Fugitive,Offshore oil
Denmark,0,Fugitive,Unconventional oil
Bahrain,1.370000005,Incomplete-flare,Onshore conventional oil
Sudan,0,Vented,Onshore conventional gas
Cuba,2.679999977,Fugitive,Onshore conventional gas
Libya,218.3600063,Vented,Onshore conventional gas
Other,0,Fugitive,Unconventional oil
Other,0,Incomplete-flare,Onshore conventional gas
United Kingdom,0.790000021,Incomplete-flare,Onshore conventional oil
United Kingdom,15.00999999,Fugitive,Offshore gas
Netherlands,0,Incomplete-flare,Unconventional oil
Netherlands,0.079999998,Fugitive,Downstream oil
India,0,Incomplete-flare,Unconventional oil
Ivory Coast,0.02,Fugitive,Downstream oil
Denmark,0,Fugitive,Satellite-detected large emitters
Kazakhstan,0.169999996,Fugitive,Downstream oil
Pakistan,34.78000023,Vented,Onshore conventional oil
Congo,0,Incomplete-flare,Unconventional gas
Colombia,0,Incomplete-flare,Offshore gas
ROETE,0,Fugitive,Unconventional oil
OASEAN9,0,Fugitive,Unconventional oil
Azerbaijan,0.309999989,Vented,Downstream oil
France,0,Vented,Unconventional oil
Indonesia,106.4000018,Vented,Offshore gas
Pakistan,0,Fugitive,Offshore gas
Ukraine,0,Incomplete-flare,Onshore conventional gas
Congo,0.110000003,Vented,Downstream oil
Egypt,0,Incomplete-flare,Unconventional oil
Trinidad,3.340000011,Vented,Onshore conventional gas
Ivory Coast,0,Fugitive,Unconventional gas
Qatar,0,Fugitive,Unconventional gas
Brazil,379.1800032,Vented,Offshore oil
Saudi Arabia,0,Incomplete-flare,Onshore conventional gas
New Zealand,3.779999942,Vented,Offshore gas
Oman,58.33999978,Vented,Unconventional gas
Romania,0,Incomplete-flare,Onshore conventional gas
Yemen,0,Incomplete-flare,Onshore conventional gas
Uzbekistan,31.38000006,Vented,Onshore conventional oil
United Arab Emirates,0,Incomplete-flare,Onshore conventional gas
Canada,1.109999996,Vented,Offshore gas
Congo,0,Vented,Unconventional gas
Egypt,132.8300019,Vented,Onshore conventional oil
Thailand,0,Incomplete-flare,Onshore conventional gas
Turkmenistan,0,Vented,Unconventional oil
Equatorial Guinea,0,Fugitive,Downstream oil
Mozambique,0,Vented,Offshore gas
Ivory Coast,5.129999936,Vented,Offshore oil
Iraq,0,Vented,Offshore oil
Syria,24.34000015,Incomplete-flare,Onshore conventional oil
Indonesia,30.1200006,Vented,Offshore oil
Kuwait,0,Incomplete-flare,Unconventional gas
Iraq,106.7999983,Fugitive,Downstream gas
Norway,0,Incomplete-flare,Unconventional gas
Japan,0.809999995,Fugitive,Downstream oil
Ivory Coast,0,Incomplete-flare,Onshore conventional gas
South Sudan,0,Fugitive,Downstream gas
Azerbaijan,0.679999985,Fugitive,Onshore conventional oil
Malaysia,0,Fugitive,Unconventional gas
Nigeria,0,Incomplete-flare,Unconventional gas
Argentina,0.170000002,Incomplete-flare,Offshore oil
Kazakhstan,0,Fugitive,Unconventional gas
OEU17,0,Vented,Unconventional oil
United Kingdom,0,Fugitive,Satellite-detected large emitters
Israel,0,Vented,Onshore conventional gas
Brazil,0.929999992,Fugitive,Downstream oil
Algeria,712.309994,Vented,Onshore conventional gas
United Kingdom,0.180000002,Fugitive,Onshore conventional oil
Cuba,0,Vented,Unconventional gas
Australia,22.07000027,Vented,Downstream gas
Gabon,2.050000027,Fugitive,Downstream gas
France,0,Fugitive,Unconventional oil
OEU17,0.48,Fugitive,Onshore conventional oil
Cuba,8.189999972,Vented,Onshore conventional oil
Saudi Arabia,0,Vented,Unconventional oil
United Arab Emirates,0,Vented,Unconventional oil
Argentina,62.55000078,Vented,Unconventional oil
Brazil,22.53000069,Incomplete-flare,Offshore oil
Romania,0,Fugitive,Unconventional oil
Netherlands,0.920000002,Fugitive,Onshore conventional gas
Ukraine,77.65000153,Fugitive,Downstream gas
Canada,0,Incomplete-flare,Onshore conventional gas
Canada,0.500000004,Fugitive,Downstream oil
Peru,0,Vented,Unconventional gas
Azerbaijan,8.769999981,Fugitive,Offshore oil
OEU7,1.269999987,Vented,Onshore conventional gas
Netherlands,0.219999995,Vented,Onshore conventional oil
Nigeria,307.6100047,Vented,Offshore oil
Equatorial Guinea,0,Vented,Onshore conventional gas
Mexico,0,Incomplete-flare,Unconventional gas
Mexico,151.5499992,Fugitive,Downstream gas
Trinidad,19.9499998,Vented,Downstream gas
Tunisia,2.209999919,Fugitive,Onshore conventional gas
Bolivia,0,Fugitive,Unconventional oil
Bolivia,0,Fugitive,Satellite-detected large emitters
Israel,0,Incomplete-flare,Offshore oil
Syria,0,Incomplete-flare,Offshore oil
Algeria,7.310000062,Fugitive,Unconventional gas
Peru,0.079999998,Vented,Offshore gas
Cuba,0,Incomplete-flare,Onshore conventional gas
Ecuador,0.269999994,Fugitive,Onshore conventional gas
Australia,0.220000001,Fugitive,Downstream oil
South Sudan,0,Vented,Unconventional oil
Brunei,0.119999997,Fugitive,Onshore conventional oil
Ecuador,22.64999962,Incomplete-flare,Onshore conventional oil
Denmark,7.660000026,Vented,Offshore oil
China,0,Incomplete-flare,Offshore gas
Venezuela,0,Fugitive,Unconventional oil
Israel,0,Fugitive,Satellite-detected large emitters
Ukraine,34.17000008,Fugitive,Onshore conventional gas
Congo,0,Incomplete-flare,Offshore gas
Nigeria,84.89999962,Fugitive,Downstream gas
Colombia,0,Vented,Unconventional oil
Bolivia,0,Incomplete-flare,Offshore oil
Libya,7.940000057,Vented,Downstream oil
Indonesia,0.609999992,Fugitive,Downstream oil
Other,0,Incomplete-flare,Offshore gas
New Zealand,0.029999999,Fugitive,Downstream oil
Canada,88.08000112,Vented,Unconventional oil
Brazil,46.98999979,Vented,Onshore conventional oil
Ecuador,0,Incomplete-flare,Offshore gas
Nigeria,0,Incomplete-flare,Offshore gas
Kazakhstan,0,Incomplete-flare,Unconventional oil
Brunei,0,Fugitive,Satellite-detected large emitters
Ecuador,164.2699983,Vented,Onshore conventional oil
Peru,0.059999999,Fugitive,Downstream oil
Chad,0,Fugitive,Unconventional oil
United Kingdom,68.90000034,Vented,Offshore oil
Syria,54.17000008,Fugitive,Downstream gas
OEU7,0.430000013,Vented,Downstream oil
Italy,54.4699994,Vented,Downstream gas
Australia,56.30999947,Fugitive,Offshore gas
Norway,0,Incomplete-flare,Offshore gas
Vietnam,44.68000031,Vented,Offshore oil
Malaysia,2.039999986,Vented,Onshore conventional oil
Nigeria,0.279999996,Fugitive,Downstream oil
Ukraine,42.87999909,Vented,Downstream gas
Iran,540.7499949,Vented,Onshore conventional gas
Japan,1.229999991,Vented,Onshore conventional oil
Oman,113.3200016,Vented,Onshore conventional gas
Sudan,0,Fugitive,Downstream gas
Canada,0,Incomplete-flare,Unconventional gas
Argentina,0,Incomplete-flare,Offshore gas
Bahrain,24.73000073,Fugitive,Downstream gas
Malaysia,70.84000015,Fugitive,Downstream gas
United Kingdom,13.84000015,Incomplete-flare,Offshore oil
Thailand,0,Fugitive,Unconventional oil
United Arab Emirates,195.0499978,Vented,Offshore oil
Mozambique,0,Vented,Onshore conventional oil
Romania,0,Incomplete-flare,Unconventional gas
Brunei,0.519999981,Incomplete-flare,Onshore conventional oil
New Zealand,1.540000051,Fugitive,Onshore conventional gas
Brunei,1.150000036,Fugitive,Offshore oil
United States,2204.409991,Vented,Unconventional oil
Brazil,5.210000098,Fugitive,Onshore conventional gas
China,12.93000007,Fugitive,Offshore gas
Ecuador,0,Incomplete-flare,Unconventional oil
OASEAN9,0,Incomplete-flare,Offshore gas
Tunisia,0,Incomplete-flare,Unconventional oil
United Kingdom,0,Incomplete-flare,Offshore gas
OEU7,0,Vented,Unconventional gas
Philippines,1.030000009,Vented,Downstream oil
Poland,0,Fugitive,Unconventional oil
Venezuela,1.300000027,Fugitive,Downstream oil
Israel,0,Incomplete-flare,Onshore conventional oil
Venezuela,91.94000244,Incomplete-flare,Onshore conventional oil
Equatorial Guinea,0,Fugitive,Onshore conventional gas
Israel,5.759999985,Vented,Downstream gas
United States,38.24000168,Incomplete-flare,Onshore conventional oil
Other,4.75,Fugitive,Onshore conventional oil
Turkmenistan,14.98999977,Incomplete-flare,Offshore oil
Nigeria,111.9499969,Incomplete-flare,Onshore conventional oil
United Kingdom,0.039999999,Fugitive,Unconventional gas
Argentina,10.65999985,Incomplete-flare,Unconventional oil
China,0.029999999,Incomplete-flare,Unconventional oil
Iran,8.560000002,Vented,Downstream oil
Denmark,0,Vented,Unconventional oil
Yemen,0.669999991,Vented,Downstream oil
Peru,18.85000023,Vented,Onshore conventional oil
Indonesia,0.069999998,Fugitive,Unconventional gas
Libya,1.329999998,Fugitive,Downstream oil
Israel,0,Fugitive,Offshore oil
Kuwait,0.390000012,Fugitive,Offshore oil
Philippines,0,Vented,Unconventional gas
Mexico,0,Vented,Unconventional oil
Italy,0,Fugitive,Unconventional gas
Brazil,1.879999995,Incomplete-flare,Onshore conventional oil
Canada,0,Incomplete-flare,Offshore gas
Ukraine,0.109999999,Fugitive,Downstream oil
United Arab Emirates,0,Incomplete-flare,Unconventional gas
Ukraine,0,Incomplete-flare,Unconventional gas
New Zealand,0.829999998,Vented,Onshore conventional oil
Turkmenistan,0,Incomplete-flare,Offshore gas
Colombia,157.560002,Vented,Onshore conventional oil
OASEAN9,0.419999987,Incomplete-flare,Offshore oil
Peru,0,Fugitive,Unconventional gas
Qatar,340.6,Vented,Offshore gas
Venezuela,73.73000145,Fugitive,Onshore conventional oil
Colombia,12.21000004,Incomplete-flare,Onshore conventional oil
Canada,68.91999912,Fugitive,Onshore conventional gas
Egypt,11.98999965,Fugitive,Onshore conventional oil
Qatar,0,Incomplete-flare,Offshore gas
Kazakhstan,5.96999979,Incomplete-flare,Offshore oil
Libya,236.4399996,Vented,Downstream gas
Brazil,0.01,Incomplete-flare,Unconventional oil
Israel,0,Fugitive,Onshore conventional oil
Congo,0,Fugitive,Satellite-detected large emitters
Azerbaijan,0,Vented,Unconventional gas
Italy,0,Vented,Unconventional oil
ROETE,0.149999999,Fugitive,Unconventional gas
New Zealand,0,Incomplete-flare,Onshore conventional gas
Australia,5.849999964,Fugitive,Onshore conventional gas
Australia,0,Incomplete-flare,Unconventional oil
India,0,Vented,Unconventional oil
Australia,39.93000126,Fugitive,Downstream gas
Qatar,144.7899969,Vented,Offshore oil
Kuwait,0,Incomplete-flare,Onshore conventional gas
United Kingdom,2.069999965,Vented,Onshore conventional oil
Venezuela,85.54000236,Vented,Offshore gas
Congo,0,Incomplete-flare,Onshore conventional gas
Angola,0,Incomplete-flare,Unconventional oil
Peru,12.05000007,Fugitive,Downstream gas
Poland,2.690000044,Vented,Unconventional gas
Germany,1.440000013,Fugitive,Unconventional gas
Pakistan,0.269999994,Fugitive,Downstream oil
OEU17,0,Incomplete-flare,Unconventional gas
Ecuador,0.119999997,Fugitive,Downstream oil
Indonesia,40.77000093,Fugitive,Onshore conventional gas
Cameroon,41.82999969,Vented,Offshore oil
Kuwait,0,Fugitive,Unconventional oil
Kuwait,0,Fugitive,Satellite-detected large emitters
Congo,3.179999975,Vented,Onshore conventional gas
Saudi Arabia,5.839999974,Fugitive,Unconventional gas
Norway,0,Incomplete-flare,Onshore conventional gas
Uzbekistan,166.3299961,Fugitive,Onshore conventional gas
ROETE,0,Vented,Offshore gas
Trinidad,36.11999989,Fugitive,Downstream gas
Mozambique,0,Incomplete-flare,Onshore conventional gas
Vietnam,0,Incomplete-flare,Unconventional oil
OEU7,4.310000073,Vented,Downstream gas
Denmark,0,Fugitive,Onshore conventional oil
Ecuador,0,Vented,Offshore oil
Uzbekistan,0,Fugitive,Offshore gas
China,114.5300024,Vented,Offshore oil
Iraq,0,Vented,Unconventional oil
Japan,0,Fugitive,Unconventional gas
Bolivia,1.739999995,Fugitive,Onshore conventional oil
New Zealand,4.449999869,Fugitive,Downstream gas
Iran,0,Incomplete-flare,Offshore gas
United States,13.98999989,Fugitive,Offshore oil
Algeria,317.3100128,Fugitive,Onshore conventional gas
OASEAN9,0.109999999,Fugitive,Onshore conventional oil
Brunei,0,Fugitive,Unconventional oil
Italy,0,Incomplete-flare,Onshore conventional gas
Libya,0,Vented,Unconventional gas
Russia,1.830000013,Fugitive,Downstream oil
Germany,2.429999949,Vented,Onshore conventional oil
Brazil,0,Fugitive,Unconventional gas
Syria,0,Vented,Offshore oil
Gabon,0,Incomplete-flare,Unconventional oil
Ecuador,0,Fugitive,Unconventional gas
United States,135.6699991,Fugitive,Onshore conventional gas
Indonesia,0,Incomplete-flare,Onshore conventional gas
Canada,129.0300026,Fugitive,Downstream gas
Syria,0,Incomplete-flare,Unconventional gas
Chad,0,Fugitive,Downstream gas
Brunei,8.350000143,Fugitive,Offshore gas
Ukraine,1.019999988,Fugitive,Unconventional gas
Saudi Arabia,916.7699998,Vented,Onshore conventional oil
Peru,0,Incomplete-flare,Onshore conventional gas
Kazakhstan,50.29999996,Vented,Offshore oil
Bahrain,0,Fugitive,Unconventional gas
Russia,1799.619995,Fugitive,Onshore conventional gas
Pakistan,71.80000031,Vented,Downstream gas
Nigeria,324.6200013,Vented,Onshore conventional oil
United States,15.64999998,Fugitive,Offshore gas
Pakistan,3.179999931,Vented,Unconventional gas
Trinidad,0,Incomplete-flare,Unconventional oil
Cameroon,0,Incomplete-flare,Unconventional gas
Germany,0,Vented,Unconventional oil
Russia,0,Fugitive,Offshore gas
Algeria,0,Fugitive,Offshore gas
Sudan,0,Fugitive,Unconventional oil
Tunisia,3.370000035,Vented,Offshore oil
Italy,98.60000229,Fugitive,Downstream gas
Colombia,0,Fugitive,Unconventional oil
China,29.02999962,Vented,Offshore gas
Indonesia,155.5399999,Vented,Onshore conventional oil
Algeria,234.4699955,Fugitive,Downstream gas
Nigeria,123.7799988,Incomplete-flare,Offshore oil
Egypt,6.350000024,Fugitive,Offshore oil
Equatorial Guinea,18.75999975,Fugitive,Offshore gas
Colombia,0,Incomplete-flare,Offshore oil
United States,5.220000088,Fugitive,Downstream oil
ROETE,0,Vented,Offshore oil
Oman,0.059999999,Incomplete-flare,Offshore oil
Angola,1.10999997,Fugitive,Onshore conventional oil
Germany,85.67000103,Fugitive,Downstream gas
Saudi Arabia,0,Incomplete-flare,Unconventional gas
Norway,0.01,Fugitive,Onshore conventional oil
China,0,Vented,Unconventional oil
Bahrain,0,Incomplete-flare,Offshore gas
Argentina,59.15999985,Fugitive,Unconventional gas
Brazil,71.72999859,Fugitive,Downstream gas
OEU7,0,Incomplete-flare,Offshore gas
Libya,179.3899963,Vented,Offshore gas
Yemen,2.180000005,Vented,Onshore conventional gas
Nigeria,0,Vented,Unconventional oil
Japan,109.0099983,Fugitive,Downstream gas
Oman,0,Fugitive,Satellite-detected large emitters
Poland,0.919999968,Vented,Downstream oil
Ecuador,1.870000005,Fugitive,Downstream gas
India,88.66000095,Vented,Downstream gas
Ivory Coast,0,Fugitive,Onshore conventional gas
Germany,0,Incomplete-flare,Unconventional oil
Equatorial Guinea,18.64000034,Fugitive,Downstream gas
Chad,51.37000029,Vented,Onshore conventional oil
Egypt,0,Incomplete-flare,Onshore conventional gas
Iraq,315.0700073,Incomplete-flare,Onshore conventional oil
Uzbekistan,0,Fugitive,Offshore oil
Malaysia,0,Fugitive,Onshore conventional gas
Bahrain,0.01,Fugitive,Downstream oil
Japan,0,Incomplete-flare,Onshore conventional gas
Chad,0,Vented,Downstream oil
Canada,0.500000004,Fugitive,Offshore gas
Israel,0,Fugitive,Unconventional oil
Qatar,0,Incomplete-flare,Onshore conventional gas
Germany,2.05999995,Vented,Offshore oil
Uzbekistan,0,Vented,Unconventional oil
Mexico,269.3800051,Vented,Offshore oil
Cuba,0,Vented,Offshore gas
Congo,47.40999985,Incomplete-flare,Offshore oil
Brunei,18.75000013,Vented,Offshore gas
Libya,97.25999928,Fugitive,Onshore conventional gas
Azerbaijan,15.47000012,Vented,Downstream gas
Equatorial Guinea,6.760000169,Fugitive,Offshore oil
China,371.1999974,Vented,Unconventional gas
Philippines,0,Incomplete-flare,Unconventional oil
Equatorial Guinea,0,Fugitive,Unconventional gas
Netherlands,0.050000001,Incomplete-flare,Onshore conventional oil
Equatorial Guinea,10.30000008,Vented,Downstream gas
Nigeria,0,Incomplete-flare,Onshore conventional gas
Cameroon,3.390000075,Fugitive,Downstream gas
Argentina,20.07000042,Vented,Offshore gas
Other,6.170000196,Fugitive,Offshore gas
OASEAN9,1.329999994,Vented,Offshore oil
Netherlands,0,Fugitive,Unconventional gas
Norway,3.319999874,Fugitive,Offshore gas
Oman,0,Incomplete-flare,Unconventional oil
Kazakhstan,0,Incomplete-flare,Offshore gas
ROETE,0,Vented,Unconventional oil
Colombia,0,Fugitive,Satellite-detected large emitters
Egypt,0,Fugitive,Unconventional oil
Vietnam,24.00999964,Vented,Offshore gas
Israel,0,Incomplete-flare,Unconventional gas
Brunei,0,Incomplete-flare,Onshore conventional gas
Poland,10.38000002,Vented,Onshore conventional gas
India,0,Incomplete-flare,Offshore gas
Azerbaijan,0.049999999,Fugitive,Downstream oil
Norway,1.639999956,Fugitive,Offshore oil
ROETE,0,Incomplete-flare,Unconventional gas
Tunisia,0,Fugitive,Unconventional gas
Canada,55.03999949,Fugitive,Onshore conventional oil
China,10.34000003,Fugitive,Offshore oil
Mexico,0,Incomplete-flare,Onshore conventional gas
France,0,Vented,Offshore oil
United Arab Emirates,93.30999947,Fugitive,Downstream gas
Denmark,0.690000005,Fugitive,Offshore oil
Brunei,1.29999998,Vented,Onshore conventional oil
Ukraine,76.72000051,Vented,Onshore conventional gas
Bolivia,0,Incomplete-flare,Unconventional gas
Venezuela,0,Vented,Unconventional oil
Ivory Coast,0.149999995,Vented,Downstream oil
United Kingdom,33.70000018,Vented,Offshore gas
France,0,Incomplete-flare,Unconventional oil
Russia,15.78999984,Fugitive,Offshore oil
South Sudan,0,Vented,Offshore oil
Bolivia,0,Incomplete-flare,Offshore gas
Iran,39.88999939,Incomplete-flare,Offshore oil
Germany,0,Incomplete-flare,Onshore conventional oil
Uzbekistan,2.830000073,Fugitive,Onshore conventional oil
Russia,0.079999998,Fugitive,Unconventional gas
Vietnam,0,Fugitive,Unconventional gas
Chad,0,Incomplete-flare,Unconventional gas
Gabon,0.01,Fugitive,Downstream oil
Qatar,0.059999999,Fugitive,Downstream oil
Norway,0,Fugitive,Satellite-detected large emitters
Egypt,2.850000083,Vented,Downstream oil
Argentina,0,Incomplete-flare,Unconventional gas
Romania,31.35000081,Vented,Onshore conventional gas
South Sudan,383.9600092,Vented,Onshore conventional oil
South Sudan,0,Incomplete-flare,Unconventional oil
United Arab Emirates,308.159998,Vented,Onshore conventional oil
Uzbekistan,201.5599976,Fugitive,Downstream gas
Bahrain,37.15000024,Vented,Onshore conventional oil
Sudan,1.27,Vented,Downstream oil
Trinidad,1.48999998,Fugitive,Onshore conventional gas
Egypt,0,Incomplete-flare,Unconventional gas
New Zealand,2.460000008,Vented,Downstream gas
Other,11.72000027,Incomplete-flare,Onshore conventional oil
OEU7,0,Fugitive,Unconventional oil
Mexico,0,Incomplete-flare,Offshore gas
South Sudan,0,Fugitive,Unconventional oil
Bangladesh,0,Incomplete-flare,Unconventional oil
United States,0,Incomplete-flare,Offshore gas
Norway,0.189999998,Incomplete-flare,Onshore conventional oil
Angola,2.190000003,Vented,Downstream gas
Pakistan,0,Fugitive,Satellite-detected large emitters
Syria,0,Vented,Unconventional oil
Cuba,0.470000004,Vented,Downstream oil
Israel,0,Incomplete-flare,Offshore gas
Saudi Arabia,66.52000095,Vented,Offshore gas
Turkmenistan,0,Incomplete-flare,Unconventional oil
France,0,Fugitive,Offshore gas
Russia,1476.390015,Fugitive,Satellite-detected large emitters
Yemen,0.970000014,Fugitive,Onshore conventional gas
Saudi Arabia,306.9200013,Vented,Offshore oil
Bolivia,19.19999992,Vented,Onshore conventional oil
Canada,609.7700119,Vented,Onshore conventional oil
Libya,1027.11998,Vented,Onshore conventional oil
Turkmenistan,80.30999948,Vented,Offshore oil
United Kingdom,0,Vented,Unconventional oil
China,0,Fugitive,Satellite-detected large emitters
Bahrain,0,Incomplete-flare,Onshore conventional gas
India,7.119999826,Fugitive,Onshore conventional oil
Egypt,27.48999977,Incomplete-flare,Offshore oil
Pakistan,1.62000002,Vented,Downstream oil
OEU17,0.839999996,Fugitive,Downstream oil
Poland,0.119999997,Fugitive,Offshore gas
Australia,1.530000061,Fugitive,Onshore conventional oil
Yemen,9.260000229,Incomplete-flare,Onshore conventional oil
China,11.39999962,Incomplete-flare,Offshore oil
Libya,0,Incomplete-flare,Onshore conventional gas
Thailand,0.899999976,Fugitive,Onshore conventional oil
Turkmenistan,9.639999837,Vented,Offshore gas
Oman,0,Incomplete-flare,Offshore gas
Canada,231.3799992,Fugitive,Unconventional gas
Bolivia,0,Fugitive,Unconventional gas
Canada,0,Fugitive,Offshore oil
Egypt,62.78999949,Fugitive,Offshore gas
China,0,Fugitive,Unconventional oil
Thailand,0,Vented,Unconventional oil
Japan,60.2099995,Vented,Downstream gas
Indonesia,91.5299989,Vented,Onshore conventional gas
Romania,0.229999999,Fugitive,Offshore oil
Qatar,11.81000042,Incomplete-flare,Offshore oil
Cuba,6.010000002,Vented,Onshore conventional gas
Brunei,0,Fugitive,Downstream oil
Denmark,0,Incomplete-flare,Onshore conventional oil
Syria,0,Incomplete-flare,Unconventional oil
Azerbaijan,27.91000009,Fugitive,Offshore gas
Indonesia,92.19000244,Fugitive,Downstream gas
Qatar,0,Vented,Unconventional oil
Thailand,0,Fugitive,Satellite-detected large emitters
Russia,0,Incomplete-flare,Onshore conventional gas
Equatorial Guinea,0,Fugitive,Onshore conventional oil
Ecuador,1.040000014,Vented,Downstream gas
